episode,score,scoreMax,scoreAvg,memoryLength,epsilon,qAvg,avgLoss
  275, 2.0, 6.0, 1.2,95471,0.981,0.22,0.00
  276, 2.0, 6.0, 1.3,95900,0.980,0.20,0.00
  277, 0.0, 6.0, 1.1,96146,0.980,0.17,0.00
  278, 4.0, 6.0, 1.4,96742,0.980,0.24,0.00
  279, 0.0, 6.0, 1.3,96981,0.980,0.17,0.00
  280, 0.0, 6.0, 1.2,97237,0.980,0.17,0.00
  281, 2.0, 6.0, 1.2,97674,0.980,0.22,0.00
  282, 3.0, 6.0, 1.4,98107,0.979,0.24,0.00
  283, 3.0, 6.0, 1.6,98641,0.979,0.20,0.00
  284, 0.0, 6.0, 1.4,98869,0.979,0.17,0.00
  285, 1.0, 6.0, 1.4,99191,0.979,0.20,0.00
  286, 2.0, 6.0, 1.4,99610,0.979,0.22,0.00
  287, 1.0, 6.0, 1.4,99950,0.979,0.19,0.00
  288, 3.0, 6.0, 1.6,100000,0.978,0.24,0.00
  289, 0.0, 6.0, 1.4,100000,0.978,0.18,0.00
  290, 0.0, 6.0, 1.3,100000,0.978,0.17,0.00
  291, 2.0, 6.0, 1.3,100000,0.978,0.22,0.00
  292, 0.0, 6.0, 1.2,100000,0.978,0.17,0.00
  293, 1.0, 6.0, 1.2,100000,0.978,0.20,0.00
  294, 1.0, 6.0, 1.2,100000,0.978,0.20,0.00
  295, 1.0, 6.0, 1.1,100000,0.977,0.20,0.00
  296, 0.0, 6.0, 1.0,100000,0.977,0.17,0.00
  297, 5.0, 6.0, 1.4,100000,0.977,0.24,0.00
  298, 2.0, 6.0, 1.5,100000,0.977,0.21,0.00
  299, 1.0, 6.0, 1.4,100000,0.977,0.21,0.00
  300, 0.0, 6.0, 1.3,100000,0.977,0.17,0.00
  301, 0.0, 6.0, 1.2,100000,0.976,0.18,0.00
  302, 0.0, 6.0, 1.0,100000,0.976,0.17,0.00
  303, 2.0, 6.0, 1.1,100000,0.976,0.22,0.00
  304, 2.0, 6.0, 1.2,100000,0.976,0.21,0.00
  305, 1.0, 6.0, 1.2,100000,0.976,0.21,0.00
  306, 0.0, 6.0, 1.1,100000,0.976,0.16,0.00
  307, 0.0, 6.0, 1.0,100000,0.976,0.17,0.00
  308, 3.0, 6.0, 1.2,100000,0.975,0.22,0.00
  309, 1.0, 6.0, 1.2,100000,0.975,0.21,0.00
  310, 0.0, 6.0, 1.0,100000,0.975,0.17,0.00
  311, 0.0, 6.0, 0.9,100000,0.975,0.16,0.00
  312, 2.0, 6.0, 1.0,100000,0.975,0.22,0.00
  313, 1.0, 6.0, 1.0,100000,0.975,0.20,0.00
  314, 0.0, 6.0, 0.9,100000,0.975,0.17,0.00
  315, 0.0, 6.0, 0.8,100000,0.974,0.16,0.00
  316, 1.0, 6.0, 0.9,100000,0.974,0.21,0.00
  317, 0.0, 6.0, 0.8,100000,0.974,0.16,0.00
  318, 2.0, 6.0, 0.9,100000,0.974,0.22,0.00
  319, 0.0, 6.0, 0.8,100000,0.974,0.17,0.00
  320, 1.0, 6.0, 0.8,100000,0.974,0.21,0.00
  321, 0.0, 6.0, 0.7,100000,0.974,0.16,0.00
  322, 0.0, 6.0, 0.7,100000,0.974,0.17,0.00
  323, 0.0, 6.0, 0.6,100000,0.973,0.16,0.00
  324, 0.0, 6.0, 0.5,100000,0.973,0.17,0.00
  325, 2.0, 6.0, 0.7,100000,0.973,0.22,0.00
  326, 0.0, 6.0, 0.6,100000,0.973,0.16,0.00
  327, 1.0, 6.0, 0.7,100000,0.973,0.21,0.00
  328, 1.0, 6.0, 0.7,100000,0.973,0.20,0.00
  329, 0.0, 6.0, 0.6,100000,0.973,0.16,0.00
  330, 3.0, 6.0, 0.9,100000,0.972,0.23,0.00
  331, 1.0, 6.0, 0.9,100000,0.972,0.22,0.00
  332, 0.0, 6.0, 0.8,100000,0.972,0.17,0.00
  333, 1.0, 6.0, 0.8,100000,0.972,0.20,0.00
  334, 0.0, 6.0, 0.7,100000,0.972,0.17,0.00
  335, 0.0, 6.0, 0.7,100000,0.972,0.17,0.00
  336, 1.0, 6.0, 0.7,100000,0.972,0.21,0.00
  337, 2.0, 6.0, 0.8,100000,0.972,0.24,0.00
  338, 1.0, 6.0, 0.8,100000,0.971,0.21,0.00
  339, 1.0, 6.0, 0.9,100000,0.971,0.21,0.00
  340, 4.0, 6.0, 1.2,100000,0.971,0.25,0.00
  341, 0.0, 6.0, 1.1,100000,0.971,0.16,0.00
  342, 2.0, 6.0, 1.1,100000,0.971,0.23,0.00
  343, 1.0, 6.0, 1.1,100000,0.971,0.21,0.00
  344, 1.0, 6.0, 1.1,100000,0.970,0.20,0.00
  345, 1.0, 6.0, 1.1,100000,0.970,0.22,0.00
  346, 2.0, 6.0, 1.2,100000,0.970,0.22,0.00
  347, 2.0, 6.0, 1.3,100000,0.970,0.23,0.00
  348, 0.0, 6.0, 1.1,100000,0.970,0.16,0.00
  349, 1.0, 6.0, 1.1,100000,0.970,0.22,0.00
  350, 1.0, 6.0, 1.1,100000,0.969,0.21,0.00
  351, 3.0, 6.0, 1.3,100000,0.969,0.26,0.00
  352, 1.0, 6.0, 1.3,100000,0.969,0.21,0.00
  353, 1.0, 6.0, 1.2,100000,0.969,0.22,0.00
  354, 0.0, 6.0, 1.1,100000,0.969,0.16,0.00
  355, 0.0, 6.0, 1.0,100000,0.969,0.17,0.00
  356, 2.0, 6.0, 1.1,100000,0.969,0.25,0.00
  357, 2.0, 6.0, 1.2,100000,0.968,0.25,0.00
  358, 0.0, 6.0, 1.1,100000,0.968,0.18,0.00
  359, 2.0, 6.0, 1.2,100000,0.968,0.24,0.00
  360, 2.0, 6.0, 1.3,100000,0.968,0.24,0.00
  361, 1.0, 6.0, 1.2,100000,0.968,0.21,0.00
  362, 4.0, 6.0, 1.5,100000,0.968,0.29,0.00
  363, 3.0, 6.0, 1.7,100000,0.967,0.24,0.00
  364, 1.0, 6.0, 1.6,100000,0.967,0.21,0.00
  365, 1.0, 6.0, 1.5,100000,0.967,0.22,0.00
  366, 0.0, 6.0, 1.4,100000,0.967,0.17,0.00
  367, 2.0, 6.0, 1.4,100000,0.967,0.25,0.00
  368, 0.0, 6.0, 1.3,100000,0.967,0.17,0.00
  369, 1.0, 6.0, 1.3,100000,0.967,0.22,0.00
  370, 1.0, 6.0, 1.2,100000,0.966,0.22,0.00
  371, 1.0, 6.0, 1.2,100000,0.966,0.21,0.00
  372, 0.0, 6.0, 1.1,100000,0.966,0.17,0.00
  373, 2.0, 6.0, 1.2,100000,0.966,0.22,0.00
  374, 1.0, 6.0, 1.2,100000,0.966,0.22,0.00
  375, 3.0, 6.0, 1.3,100000,0.966,0.27,0.00
  376, 1.0, 6.0, 1.3,100000,0.965,0.22,0.00
  377, 0.0, 6.0, 1.2,100000,0.965,0.17,0.00
  378, 0.0, 6.0, 1.1,100000,0.965,0.17,0.00
  379, 1.0, 6.0, 1.1,100000,0.965,0.23,0.00
  380, 3.0, 6.0, 1.3,100000,0.965,0.26,0.00
  381, 1.0, 6.0, 1.2,100000,0.965,0.24,0.00
  382, 1.0, 6.0, 1.2,100000,0.965,0.20,0.00
  383, 1.0, 6.0, 1.2,100000,0.964,0.23,0.00
  384, 0.0, 6.0, 1.1,100000,0.964,0.17,0.00
  385, 2.0, 6.0, 1.2,100000,0.964,0.26,0.00
  386, 0.0, 6.0, 1.0,100000,0.964,0.17,0.00
  387, 3.0, 6.0, 1.2,100000,0.964,0.26,0.00
  388, 0.0, 6.0, 1.1,100000,0.964,0.17,0.00
  389, 2.0, 6.0, 1.2,100000,0.964,0.24,0.00
  390, 0.0, 6.0, 1.1,100000,0.963,0.16,0.00
  391, 1.0, 6.0, 1.1,100000,0.963,0.22,0.00
  392, 2.0, 6.0, 1.2,100000,0.963,0.25,0.00
  393, 1.0, 6.0, 1.2,100000,0.963,0.21,0.00
  394, 1.0, 6.0, 1.1,100000,0.963,0.23,0.00
  395, 1.0, 6.0, 1.1,100000,0.963,0.22,0.00
  396, 2.0, 6.0, 1.2,100000,0.963,0.26,0.00
  397, 0.0, 6.0, 1.1,100000,0.962,0.16,0.00
  398, 3.0, 6.0, 1.3,100000,0.962,0.25,0.00
  399, 0.0, 6.0, 1.2,100000,0.962,0.16,0.00
  400, 1.0, 6.0, 1.1,100000,0.962,0.22,0.00
  401, 1.0, 6.0, 1.1,100000,0.962,0.22,0.00
  402, 2.0, 6.0, 1.2,100000,0.962,0.25,0.00
  403, 1.0, 6.0, 1.2,100000,0.961,0.22,0.00
  404, 0.0, 6.0, 1.1,100000,0.961,0.16,0.00
  405, 0.0, 6.0, 1.0,100000,0.961,0.16,0.00
  406, 1.0, 6.0, 1.0,100000,0.961,0.22,0.00
  407, 2.0, 6.0, 1.1,100000,0.961,0.24,0.00
  408, 5.0, 6.0, 1.5,100000,0.961,0.27,0.00
  409, 0.0, 6.0, 1.3,100000,0.960,0.17,0.00
  410, 1.0, 6.0, 1.3,100000,0.960,0.22,0.00
  411, 1.0, 6.0, 1.3,100000,0.960,0.22,0.00
  412, 2.0, 6.0, 1.3,100000,0.960,0.28,0.00
  413, 1.0, 6.0, 1.3,100000,0.960,0.18,0.00
  414, 1.0, 6.0, 1.3,100000,0.960,0.21,0.00
  415, 3.0, 6.0, 1.4,100000,0.959,0.26,0.00
  416, 1.0, 6.0, 1.4,100000,0.959,0.23,0.00
